TERYT4;GENDER;AGE_GROUP;predicted_BRCA_cases
1205;K;<45-54>;11.7852321931168
218;K;<45-54>;5.44419534156795
1811;K;<45-54>;11.8533885252443
1817;K;<45-54>;6.94165421928114
1209;K;<45-54>;11.6924363122331
1804;K;<45-54>;9.12140732693418
416;K;<45-54>;4.33795117859612
616;K;<45-54>;6.18285277071374
1416;K;<45-54>;7.10045819162002
3007;K;<45-54>;8.36288639921955
1217;K;<45-54>;3.97608503051365
2014;K;<45-54>;3.7901206070162
1403;K;<45-54>;10.9661972638836
1218;K;<45-54>;14.3223966150846
2205;K;<45-54>;9.74817443377986
1007;K;<45-54>;6.74714847801385
2201;K;<45-54>;6.63481058230517
408;K;<45-54>;6.19731998991162
2216;K;<45-54>;3.82788933466439
1808;K;<45-54>;7.07245161045334
3016;K;<45-54>;6.7063047677556
2805;K;<45-54>;7.12113255729835
2008;K;<45-54>;4.03581880787457
615;K;<45-54>;6.0641637449511
2002;K;<45-54>;12.1473768522653
1801;K;<45-54>;1.93568085539673
601;K;<45-54>;9.03079483125814
2603;K;<45-54>;3.22138294639494
812;K;<45-54>;3.74425932348203
2414;K;<45-54>;4.66041583322273
2613;K;<45-54>;4.62320684748308
204;K;<45-54>;2.80608738969521
1436;K;<45-54>;2.38644357477053
1810;K;<45-54>;8.00860857155906
1609;K;<45-54>;12.9405799946431
1608;K;<45-54>;5.14758396745556
2011;K;<45-54>;5.83540915843735
1802;K;<45-54>;6.50610165164935
1435;K;<45-54>;6.65337064789252
1201;K;<45-54>;9.63053391780769
415;K;<45-54>;10.4338901701797
1437;K;<45-54>;3.52573183527329
2210;K;<45-54>;2.82483748881192
3209;K;<45-54>;7.45477097250603
2402;K;<45-54>;13.7240896852318
2819;K;<45-54>;2.53756830948258
3018;K;<45-54>;5.13710904983027
405;K;<45-54>;4.34760197981824
2818;K;<45-54>;3.172121183024
223;K;<45-54>;14.710184293654
2612;K;<45-54>;7.2384670164945
1809;K;<45-54>;4.76855898633879
2801;K;<45-54>;6.32124208206991
1015;K;<45-54>;3.20139347362865
1219;K;<45-54>;11.9457005437871
2010;K;<45-54>;4.33207562770754
1010;K;<45-54>;8.10235420758367
613;K;<45-54>;3.61878089648376
2004;K;<45-54>;5.16939594430544
2410;K;<45-54>;10.946486707761
3205;K;<45-54>;4.77963436647972
1434;K;<45-54>;23.5598229421203
620;K;<45-54>;8.61789084725529
212;K;<45-54>;4.33809698538493
1433;K;<45-54>;4.71231095288452
2062;K;<45-54>;7.34068551053155
1814;K;<45-54>;6.7650792606196
2411;K;<45-54>;10.7592325130354
1206;K;<45-54>;32.286951443504
3021;K;<45-54>;35.7817614789699
2817;K;<45-54>;6.89784865515594
418;K;<45-54>;8.07837212893524
210;K;<45-54>;6.106646811325
2003;K;<45-54>;4.49393464211113
1607;K;<45-54>;13.2624774451911
3027;K;<45-54>;8.35734173117157
1215;K;<45-54>;7.21822259077798
610;K;<45-54>;6.46655813280699
2212;K;<45-54>;9.16832919180461
1601;K;<45-54>;9.73389564787747
1013;K;<45-54>;3.75609738293796
811;K;<45-54>;11.7489150614243
607;K;<45-54>;9.91356813987634
2809;K;<45-54>;4.39631422504576
216;K;<45-54>;6.73363432491157
3010;K;<45-54>;13.1487456855598
417;K;<45-54>;2.86687174399233
1430;K;<45-54>;3.50065290946404
2403;K;<45-54>;18.6351312129844
612;K;<45-54>;6.64650183123376
2408;K;<45-54>;8.02265505037181
403;K;<45-54>;11.29285850716
2214;K;<45-54>;9.20993695447112
1005;K;<45-54>;8.03439584008906
2814;K;<45-54>;12.408042857146
1805;K;<45-54>;12.1630786367477
3029;K;<45-54>;6.02372771496186
2601;K;<45-54>;8.20844960891484
2001;K;<45-54>;4.65258569497822
1807;K;<45-54>;9.61105871431385
2804;K;<45-54>;6.24510966122815
3013;K;<45-54>;5.66277731480894
619;K;<45-54>;4.14637418104479
2812;K;<45-54>;4.62273462409641
807;K;<45-54>;3.50511327635783
3031;K;<45-54>;5.6610096308172
1404;K;<45-54>;0
