"","TERYT_CODE","gender","age","predicted_BRCA_cases"
"319",2206,"K","<0-44>",4.27477627872638
"320",2206,"K","<45-54>",8.10040724917801
"321",2206,"K","<55-64>",8.77083823598626
"322",2206,"K","<65-74>",6.19458253664754
"323",2206,"K","<75-84>",3.61085388994307
"324",2206,"K","85+",0.8016265853374
"325",2207,"M","<0-44>",0
"326",2207,"M","<45-54>",0.135324166905376
"327",2207,"M","<55-64>",0.465383424993453
"328",2207,"M","<65-74>",0.336011444350184
"329",2207,"M","<75-84>",0.307587796237059
"330",2207,"M","85+",0.0720968870234347
"331",2207,"K","<0-44>",4.41674873766981
"332",2207,"K","<45-54>",9.62405527938054
"333",2207,"K","<55-64>",13.6928379759058
"334",2207,"K","<65-74>",6.49221708035339
"335",2207,"K","<75-84>",4.29254901960784
"336",2207,"K","85+",1.09171689452966
"337",2208,"M","<0-44>",0
"338",2208,"M","<45-54>",0.108405801305995
"339",2208,"M","<55-64>",0.432424796657298
"340",2208,"M","<65-74>",0.301586573032848
"341",2208,"M","<75-84>",0.271493309943934
"342",2208,"M","85+",0.0680089192025183
"343",2208,"K","<0-44>",3.33001767012886
"344",2208,"K","<45-54>",8.38599529703319
"345",2208,"K","<55-64>",11.8335982266092
"346",2208,"K","<65-74>",5.6568374844928
"347",2208,"K","<75-84>",3.61724478178368
"348",2208,"K","85+",0.941403263868117
"349",2209,"M","<0-44>",0
"350",2209,"M","<45-54>",0.107410235731567
"351",2209,"M","<55-64>",0.289061849662865
"352",2209,"M","<65-74>",0.648670936529317
"353",2209,"M","<75-84>",0.319200804870498
"354",2209,"M","85+",0.0654074851346624
"355",2209,"K","<0-44>",3.18694421698344
"356",2209,"K","<45-54>",8.14696888626048
"357",2209,"K","<55-64>",11.6600688468158
"358",2209,"K","<65-74>",6.18525145529154
"359",2209,"K","<75-84>",4.15620999367489
"360",2209,"K","85+",1.01233090703626
"361",2210,"M","<0-44>",0.0169695943487166
"362",2210,"M","<45-54>",0.0624224195550463
"363",2210,"M","<55-64>",0.0519325140933609
"364",2210,"M","<65-74>",0.146175263774912
"365",2210,"M","<75-84>",0.150341382038317
"366",2210,"M","85+",0.0367917103882476
"367",2210,"K","<0-44>",1.90096552926634
"368",2210,"K","<45-54>",4.45873065685274
"369",2210,"K","<55-64>",5.28981241269208
"370",2210,"K","<65-74>",3.12374123645634
"371",2210,"K","<75-84>",2.20485768500949
"372",2210,"K","85+",0.538014765928371
"373",2211,"M","<0-44>",0.0396754489926155
"374",2211,"M","<45-54>",0.134369330659792
"375",2211,"M","<55-64>",0.132998066809966
"376",2211,"M","<65-74>",0.335220802720451
"377",2211,"M","<75-84>",0.328616757816531
"378",2211,"M","85+",0.0631776845050717
"379",2211,"K","<0-44>",4.78873105112322
"380",2211,"K","<45-54>",9.44346178443133
"381",2211,"K","<55-64>",10.9895879388098
"382",2211,"K","<65-74>",6.51525625744934
"383",2211,"K","<75-84>",3.65985072738773
"384",2211,"K","85+",0.810876122860524
"385",2212,"M","<0-44>",0
"386",2212,"M","<45-54>",0.165377637735128
"387",2212,"M","<55-64>",0.105047270509301
"388",2212,"M","<65-74>",0.378354174807867
"389",2212,"M","<75-84>",0.397353214322567
"390",2212,"M","85+",0.0917934592514865
"391",2212,"K","<0-44>",5.12551724782126
"392",2212,"K","<45-54>",11.5895437049928
