"TERYT4" "wynik" "Plec" "Age_Group"
610 7.4483644857717 "K" "<45-54>"
610 7.33606198132131 "K" "<55-64>"
611 5.5280582715732 "K" "<75-84>"
611 6.22520041771169 "K" "<0-44>"
611 8.93732772954413 "K" "<45-54>"
611 10.7592027738031 "K" "<65-74>"
611 15.5053087031073 "K" "<55-64>"
612 1.24071785574761 "K" "85+"
612 0.996400461361521 "M" "<65-74>"
612 3.28310788957636 "K" "<75-84>"
612 3.54015779468101 "K" "<0-44>"
612 5.74194857743184 "K" "<65-74>"
612 5.52289308516009 "K" "<45-54>"
612 11.1168551638501 "K" "<55-64>"
613 0.833791003822777 "M" "<75-84>"
613 2.49231795200843 "K" "<75-84>"
613 2.84943860658071 "K" "<65-74>"
613 3.28361370517442 "K" "<45-54>"
613 4.62322563658843 "K" "<55-64>"
614 2.02038104188738 "K" "85+"
614 1.70303677971977 "M" "<65-74>"
614 1.09241511578528 "M" "<0-44>"
614 0.946453998038672 "M" "<75-84>"
614 4.84258374040556 "K" "<0-44>"
614 6.92297565631715 "K" "<75-84>"
614 11.7214681605598 "K" "<45-54>"
614 12.3730550493415 "K" "<65-74>"
614 16.4693899239226 "K" "<55-64>"
615 0.876475221202529 "M" "<65-74>"
615 3.74359598367297 "K" "<75-84>"
615 6.86078390769713 "K" "<65-74>"
615 2.7021892584263 "K" "<0-44>"
615 5.79793578303159 "K" "<45-54>"
615 9.38797785743359 "K" "<55-64>"
616 0.946017311168542 "M" "<45-54>"
616 2.55864294866725 "K" "<0-44>"
616 4.01748703638866 "K" "<65-74>"
616 6.1530956756947 "K" "<55-64>"
616 5.06374305215598 "K" "<45-54>"
617 1.04897622946046 "M" "<75-84>"
617 1.02986508736851 "M" "<45-54>"
617 4.39867718307595 "K" "<75-84>"
617 6.26814039687248 "K" "<65-74>"
617 9.65680764499452 "K" "<45-54>"
617 4.21267616165765 "K" "<0-44>"
617 12.4687767952849 "K" "<55-64>"
618 0.925448134678981 "M" "<55-64>"
618 6.22674325245629 "K" "<75-84>"
618 7.9579918765419 "K" "<65-74>"
618 4.90220409546384 "K" "<0-44>"
618 8.39334428054601 "K" "<45-54>"
618 12.7249014504423 "K" "<55-64>"
661 3.57114510682372 "K" "<65-74>"
661 2.54288697219738 "K" "<75-84>"
661 7.71124358383631 "K" "<45-54>"
661 3.05758591218194 "K" "<0-44>"
661 7.99176814609666 "K" "<55-64>"
619 0.867747227091682 "K" "85+"
619 2.16978151560413 "K" "<0-44>"
619 3.1111159601151 "K" "<65-74>"
619 6.12755799791789 "K" "<55-64>"
619 4.72126136765498 "K" "<45-54>"
620 5.06239703271786 "K" "85+"
620 2.91497254660576 "M" "<75-84>"
620 1.98562431072875 "M" "<55-64>"
620 5.06948723853024 "K" "<0-44>"
620 9.04561286180193 "K" "<65-74>"
620 10.2882410109717 "K" "<45-54>"
620 10.1250823146286 "K" "<75-84>"
620 13.1533633761939 "K" "<55-64>"
663 1.09185670639791 "M" "<45-54>"
663 3.41895000108831 "M" "<75-84>"
663 6.25109887943583 "K" "85+"
663 28.1384404648797 "K" "<75-84>"
663 21.3949237950624 "K" "<0-44>"
663 37.862335415598 "K" "<45-54>"
663 51.07750415074 "K" "<65-74>"
663 69.753716368101 "K" "<55-64>"
662 1.29714557607307 "K" "85+"
662 0.821577730888836 "M" "<65-74>"
662 7.6625142477016 "K" "<45-54>"
662 3.11998079685402 "K" "<0-44>"
662 4.17780487838489 "K" "<75-84>"
662 11.4793135542396 "K" "<55-64>"
662 7.78199349200414 "K" "<65-74>"
664 1.19633511053817 "K" "85+"
664 0.612449685850906 "M" "<45-54>"
664 3.19897055731396 "K" "<75-84>"
664 7.79494912758953 "K" "<65-74>"
664 4.19802664425114 "K" "<0-44>"
664 8.68804951666568 "K" "<45-54>"
664 11.6146305066278 "K" "<55-64>"
1202 1.17254823196841 "M" "<65-74>"
1202 3.67113329906669 "K" "<75-84>"
1202 6.93873920459459 "K" "<65-74>"
1202 4.72234975215807 "K" "<0-44>"
1202 7.79752505924619 "K" "<45-54>"
1202 9.2080059507668 "K" "<55-64>"
1201 1.74407281063719 "K" "85+"
1201 1.70019592491083 "M" "<55-64>"
1201 5.34648482630334 "K" "<0-44>"
1201 4.7040153157196 "K" "<75-84>"
1201 11.1247756774366 "K" "<55-64>"
1201 9.80756343974357 "K" "<45-54>"
1201 7.45577998627434 "K" "<65-74>"
1203 2.10288924621646 "M" "<65-74>"
1203 1.6407523867059 "M" "<55-64>"
1203 6.36473994437712 "K" "<0-44>"
1203 2.29363236994269 "K" "85+"
1203 7.92920377101969 "K" "<75-84>"
1203 17.545718201635 "K" "<55-64>"
1203 13.6833999344972 "K" "<45-54>"
1203 11.8337288566311 "K" "<65-74>"
1204 1.52858507471563 "K" "85+"
1204 4.54483663903017 "K" "<65-74>"
1204 5.18077797302261 "K" "<45-54>"
1204 3.51522146368445 "K" "<75-84>"
1204 2.61301644861583 "K" "<0-44>"
1204 5.77586099119312 "K" "<55-64>"
1205 1.59986366200402 "M" "<65-74>"
1205 2.16361290841452 "K" "85+"
1205 5.32995427205645 "K" "<0-44>"
1205 5.88034292828076 "K" "<75-84>"
1205 7.97332171786256 "K" "<65-74>"
1205 12.7666853574557 "K" "<55-64>"
1205 11.4782490357055 "K" "<45-54>"
1206 2.74720930068248 "M" "<55-64>"
1206 4.96915577315681 "K" "85+"
1206 2.27477101223829 "M" "<45-54>"
1206 15.9436141724728 "K" "<0-44>"
1206 16.8330193879661 "K" "<75-84>"
1206 24.258191312959 "K" "<65-74>"
1206 25.9305264033995 "K" "<45-54>"
1206 41.5551501258934 "K" "<55-64>"
1207 1.98546116776732 "M" "<65-74>"
1207 6.65694540172027 "K" "<75-84>"
1207 5.92878559638192 "K" "<0-44>"
1207 10.7758162788679 "K" "<45-54>"
1207 8.40786369967807 "K" "<65-74>"
1207 12.0931602624241 "K" "<55-64>"
1208 0.71440413892867 "M" "<65-74>"
1208 3.87701050829 "K" "<45-54>"
1208 2.68901004046611 "K" "<0-44>"
1208 3.07526808811948 "K" "<75-84>"
1208 5.38557353006822 "K" "<65-74>"
1208 6.48027124404034 "K" "<55-64>"
1209 1.82826851023633 "K" "85+"
1209 7.50447818437583 "K" "<65-74>"
1209 6.07804988491929 "K" "<75-84>"
1209 12.1173437797495 "K" "<55-64>"
1209 6.66719759440089 "K" "<0-44>"
1209 11.6124418066445 "K" "<45-54>"
1210 3.94145963952423 "K" "85+"
1210 2.26314521300378 "M" "<55-64>"
1210 12.1381145321243 "K" "<0-44>"
1210 10.5629129200603 "K" "<75-84>"
1210 12.3669498343139 "K" "<65-74>"
1210 20.6700753874782 "K" "<55-64>"
1210 17.5438788400906 "K" "<45-54>"
1211 2.60113274855353 "K" "85+"
1211 10.1905408525311 "K" "<75-84>"
1211 11.058075786732 "K" "<0-44>"
1211 18.7668394362739 "K" "<65-74>"
1211 18.8119312611552 "K" "<55-64>"
1211 15.8438340297128 "K" "<45-54>"
1212 1.92392848770532 "K" "85+"
1212 10.0331331987805 "K" "<65-74>"
1212 5.2214199755951 "K" "<0-44>"
1212 6.75659056201618 "K" "<75-84>"
1212 17.2309397252297 "K" "<55-64>"
1212 13.6679924574842 "K" "<45-54>"
1213 1.85929335560657 "M" "<75-84>"
1213 1.63461094074244 "M" "<55-64>"
1213 2.60156725616492 "K" "85+"
1213 8.69866777743359 "K" "<75-84>"
1213 2.71849241706392 "M" "<65-74>"
1213 6.67626026258524 "K" "<0-44>"
1213 17.3110957616366 "K" "<65-74>"
1213 16.6192784535213 "K" "<45-54>"
1213 22.3494050548443 "K" "<55-64>"
