Kod;Nazwa;³ó¿ka w szpitalach ogólnych
2801000;Powiat bartoszycki;321,00
2802000;Powiat braniewski;94,00
2803000;Powiat dzia³dowski;374,00
2804000;Powiat elbl¹ski;50,00
2805000;Powiat e³cki;287,00
2806000;Powiat gi¿ycki;241,00
2807000;Powiat i³awski;333,00
2808000;Powiat kêtrzyñski;166,00
2809000;Powiat lidzbarski;137,00
2810000;Powiat mr¹gowski;134,00
2811000;Powiat nidzicki;83,00
2812000;Powiat nowomiejski;152,00
2813000;Powiat olecki;130,00
2814000;Powiat olsztyñski;472,00
2815000;Powiat ostródzki;332,00
2816000;Powiat piski;203,00
2817000;Powiat szczycieñski;152,00
2818000;Powiat go³dapski;54,00
2819000;Powiat wêgorzewski;89,00
2861000;Powiat m.Elbl¹g;913,00
2862000;Powiat m.Olsztyn;1268,00
3000000;WIELKOPOLSKIE;15633,00
3001000;Powiat chodzieski;375,00
3002000;Powiat czarnkowsko-trzcianecki;305,00
3003000;Powiat gnieŸnieñski;355,00
3004000;Powiat gostyñski;264,00
3005000;Powiat grodziski;123,00
3006000;Powiat jarociñski;177,00
3007000;Powiat kaliski;147,00
3008000;Powiat kêpiñski;251,00
3009000;Powiat kolski;230,00
3011000;Powiat koœciañski;249,00
3012000;Powiat krotoszyñski;249,00
3013000;Powiat leszczyñski;80,00
3014000;Powiat miêdzychodzki;155,00
3015000;Powiat nowotomyski;168,00
3016000;Powiat obornicki;381,00
3017000;Powiat ostrowski;494,00
3018000;Powiat ostrzeszowski;124,00
3019000;Powiat pilski;753,00
3020000;Powiat pleszewski;276,00
3021000;Powiat poznañski;298,00
3022000;Powiat rawicki;155,00
3023000;Powiat s³upecki;243,00
3024000;Powiat szamotulski;222,00
3025000;Powiat œredzki;162,00
3026000;Powiat œremski;417,00
3027000;Powiat turecki;199,00
3028000;Powiat w¹growiecki;168,00
3029000;Powiat wolsztyñski;179,00
3030000;Powiat wrzesiñski;203,00
3031000;Powiat z³otowski;291,00
3061000;Powiat m.Kalisz;889,00
3062000;Powiat m.Konin;831,00
3063000;Powiat m.Leszno;539,00
3064000;Powiat m.Poznañ;5681,00
3200000;ZACHODNIOPOMORSKIE;7786,00
3201000;Powiat bia³ogardzki;317,00
3202000;Powiat choszczeñski;387,00
3203000;Powiat drawski;171,00
3204000;Powiat goleniowski;283,00
3205000;Powiat gryficki;464,00
3206000;Powiat gryfiñski;101,00
3207000;Powiat kamieñski;100,00
3208000;Powiat ko³obrzeski;424,00
3210000;Powiat myœliborski;266,00
3211000;Powiat policki;195,00
3212000;Powiat pyrzycki;155,00
3213000;Powiat s³awieñski;180,00
3214000;Powiat stargardzki;322,00
3215000;Powiat szczecinecki;199,00
3216000;Powiat œwidwiñski;142,00
3218000;Powiat ³obeski;30,00
3261000;Powiat m.Koszalin;717,00
3262000;Powiat m.Szczecin;3216,00
3263000;Powiat m.Œwinoujœcie;117,00
